Cuenta,Nombre,Ficha,Docum.,Un.Neg.,Concil.,Estado,cuenta_sii,cod_f22
2.01.05.00,Obligaciones largo plazo con vencimiento dentro un año,,,,,Activo,,
2.01.06.00,Dividendos por pagar,,,,,Activo,,
2.01.07.00,Cuentas por pagar,,,,,Activo,,
2.01.07.01,Proveedores Nacionales,S,S,,,Activo,,
2.01.07.02,Proveedores Extranjeros,S,S,,,Activo,,
2.01.07.03,Honorarios por Pagar,S,S,,,Activo,,
2.01.07.04,Cheques por Pagar,S,S,,,Activo,,
2.01.07.05,Garantias por Pagar,S,,,,Activo,,
2.01.07.29,Rendiciones por Pagar,S,S,,,Activo,,
2.01.08.00,Sueldos por Pagar,,,,,Activo,,
2.01.08.01,Sueldos por Pagar,S,S,,,Activo,,
2.01.08.02,Descuentos a Trabajadores,S,,,,Activo,,
2.01.08.03,Descuentos CCAF,S,,,,Activo,,
2.01.08.32,Finiquitos por Pagar,S,S,,,Activo,,
2.01.09.00,Acreedores varios,,,,,Activo,,
2.01.09.01,Acreedores varios,S,,,,Activo,,
2.01.09.02,Prestamo Tercero,S,,,,Activo,,
2.01.10.00,Documentos y cuentas por pagar empresas relacionadas (cuenta corrientes mercantil),,,,,Activo,,
2.01.10.01,Cuenta Corriente Inversiones Argandoña,,,,,Activo,,
2.01.11.00,Provisiones,,,,,Activo,,
2.01.12.00,Retenciones,,,,,Activo,,
2.01.12.01,Imposiciones por Pagar,S,S,,,Activo,,
2.01.12.02,Impuesto Unico Trabajadores,,,,,Activo,,
2.01.12.03,Impuesto de 2da Categoria,,,,,Activo,,
2.01.12.04,IVA Debito Fiscal,,,,,Activo,,
2.01.12.05,Impuestos por Pagar,,,,,Activo,,
2.01.12.15,IVA Retenido,,,,,Activo,,
2.01.12.37,IVA Terceros,,,,,Activo,,
2.01.12.43,Ret. Adicional 3% (ley 21.242),,,,,Activo,,
2.01.12.99,Impuesto espec. combustibles por pagar,,,,,Activo,,
2.01.13.00,Impuesto a la renta,,,,,Activo,,
2.01.13.01,Impuesto a la renta,,,,,Activo,,
2.01.14.00,Ingresos percibidos por adelantado,,,,,Activo,,
2.01.14.01,Anticipo de Clientes,S,,,,Activo,,
2.01.15.00,Impuestos diferidos,,,,,Activo,,
2.01.15.01,Impuestos diferidos,,,,,Activo,,
2.01.16.00,Otros pasivos circulantes,,,,,Activo,,
2.01.16.01,Otros pasivos circulantes,,,,,Activo,,
2.02.00.00,Pasivos a Largo Plazo,,,,,Activo,,
2.02.01.00,Obligaciones con bancos e instituciones financieras,,,,,Activo,,
2.02.01.01,Prestamo Bancario Largo Plazo,,,,,Activo,,
2.02.02.00,Obligaciones con el público largo plazo (bonos),,,,,Activo,,
2.02.03.00,Documentos por pagar largo plazo,,,,,Activo,,
2.02.04.00,Acreedores varios largo plazo,,,,,Activo,,
2.02.05.00,Documentos y cuentas por pagar empresas relacionadas largo plazo,,,,,Activo,,
2.02.06.00,Provisiones largo plazo,,,,,Activo,,
2.02.07.00,Impuestos diferidos a largo plazo,,,,,Activo,,
2.02.08.00,Otros pasivos a largo plazo,,,,,Activo,,
2.03.00.00,Patrimonio,,,,,Activo,,
2.03.01.00,Capital pagado,,,,,Activo,,
2.03.01.01,Capital,,,,,Activo,,
2.03.01.02,Aportes por Capitalizar,,,,,Activo,,
2.03.01.99,Superávit de Revaluación,,,,,Activo,,
2.03.02.00,Reserva revalorización capital,,,,,Activo,,
2.03.02.01,Reserva revalorización capital,,,,,Activo,,
2.03.03.00,Sobreprecio en venta de acciones propias,,,,,Activo,,
2.03.04.00,Otras reservas,,,,,Activo,,
2.03.05.00,Reservas futuros dividendos,,,,,Activo,,
2.03.06.00,Utilidades acumuladas,,,,,Activo,,
2.03.06.01,Utilidades acumuladas,,,,,Activo,,
2.03.06.02,Utilidad del Ejercicio,,,,,Activo,,
2.03.07.00,Pérdidas acumuladas,,,,,Activo,,
2.03.07.01,Pérdidas acumuladas,,,,,Activo,,
2.03.07.02,Perdidas del Ejercicio,,,,,Activo,,
2.03.08.00,Dividendos provisorios,,,,,Activo,,
2.03.08.01,Dividendos provisorios,,,,,Activo,,
2.03.08.02,Retiros,,,,,Activo,,
2.03.09.00,Déficit acumulado período de desarrollo,,,,,Activo,,
2.03.10.00,Otros ajustes patrimoniales,,,,,Activo,,
2.04.00.00,Cuentas de Orden de Pasivos,,,,,Activo,,
2.04.01.00,Cuentas de Orden de Pasivos,,,,,Activo,,
3.00.00.00,Ingresos,,,,,Activo,,
3.01.00.00,Ingresos,,,,,Activo,,
3.01.01.00,Ingresos de explotación,,,,,Activo,,
3.01.01.01,Ventas Afectas,,,S,,Activo,,
3.01.01.02,Ventas Exentas,,,S,,Activo,,
3.01.01.03,Ingresos por Arriendo,,,S,,Activo,,
3.01.01.04,Ingresos por Otros Arriendos,,,S,,Activo,,
3.01.01.05,Ingresos por Instalaciones,,,S,,Activo,,
3.01.01.50,Otros ingresos por Ventas,,,S,,Activo,,
3.02.00.00,Otros Ingresos,,,,,Activo,,
3.02.01.00,Ingresos financieros,,,,,Activo,,
3.02.01.01,Intereses Ganados,,,S,,Activo,,
3.02.02.00,Utilidad inversiones empresas relacionadas,,,,,Activo,,
3.02.03.00,Otros ingresos fuera de la explotación,,,,,Activo,,
3.02.03.01,Utilidad en venta de Activo Fijo,,,S,,Activo,,
3.02.03.02,Reajuste UM,,,S,,Activo,,
3.02.12.00,Diferencias de cambio,,,,,Activo,,
3.02.12.01,Diferencias de cambio Ganancia,,,S,,Activo,,
3.02.12.02,Unidad de Reajuste,,,S,,Activo,,
4.00.00.00,Egresos,,,,,Activo,,
4.01.00.00,Egresos,,,,,Activo,,
4.01.01.00,Egresos,,,,,Activo,,
4.01.01.99,Gastos sin asignar,,,,,Activo,,
4.01.02.00,Costos de explotación,,,,,Activo,,
4.01.02.01,Costo de Venta,,,S,,Activo,,
4.01.03.00,Gastos de administración y ventas,,,,,Activo,,
4.01.03.01,Honorarios Profesionales,,,S,,Activo,,
4.01.03.02,Gastos Notariales,,,S,,Activo,,
4.01.03.03,Gastos Legales,,,S,,Activo,,
4.01.03.04,Articulos de Oficina,,,S,,Activo,,
4.01.03.05,Articulos de Aseo,,,S,,Activo,,
4.01.03.06,Insumos computacionales,,,S,,Activo,,
4.01.03.07,Aseo de Oficina,,,S,,Activo,,
4.01.03.08,Seguros,,,S,,Activo,,
4.01.03.09,Publicidad y Marketing,,,S,,Activo,,
4.01.03.10,Servicio de Seguridad,,,S,,Activo,,
4.01.03.11,Arriendos,,,S,,Activo,,
4.01.03.12,Suscripciones,,,S,,Activo,,
4.01.03.13,Gastos telefonicos  e Internet,,,S,,Activo,,
4.01.03.14,Mantencion y reparacion,,,S,,Activo,,
4.01.03.15,Patentes Comerciales,,,S,,Activo,,
4.01.03.16,Fletes,,,S,,Activo,,
4.01.03.17,Gastos Aduana,,,S,,Activo,,
4.01.03.18,Combustibles,,,S,,Activo,,
4.01.03.19,Peajes,,,S,,Activo,,
4.01.03.20,Mantencion Vehiculos,,,S,,Activo,,
4.01.03.21,Estacionamiento,,,S,,Activo,,
4.01.03.22,Gastos Generales,,,S,,Activo,,
4.01.03.23,Gastos Caja Chica,,,S,,Activo,,
4.01.03.24,Capacitaciones,,,S,,Activo,,
4.01.03.25,Costo en Equipos de Oficina,,,S,,Activo,,
4.01.03.26,Asesorías,,,S,,Activo,,
4.01.03.27,Contribuciones,,,S,,Activo,,
4.01.03.99,Pérdida por Baja de Activo,,,,,Activo,,
4.02.04.00,Sueldos y leyes Sociales,,,,,Activo,,
4.02.04.01,Sueldos,,,S,,Activo,,
4.02.04.02,Leyes Sociales,,,S,,Activo,,
4.02.04.60,Finiquitos,,,S,,Activo,,
4.02.05.00,Pérdida inversión empresas relacionadas (menos),,,,,Activo,,
4.02.06.00,Gastos financieros con empresas relacionadas (menos),,,,,Activo,,
4.02.07.00,Gastos Financieros,,,,,Activo,,
4.02.07.01,Gastos Bancarios,,,S,,Activo,,
4.02.07.02,Intereses Prestamos,,,S,,Activo,,
4.02.07.03,Intereses Factoring,,,S,,Activo,,
4.02.07.04,Gastos Linea de Credito,,,S,,Activo,,
4.02.07.05,Intereses Tarjeta de Credito,,,S,,Activo,,
4.02.09.00,Pérdida  por operaciones con intrumentos derivados,,,,,Activo,,
4.02.10.00,Otros egresos fuera de la explotación,,,,,Activo,,
4.02.10.01,Otros egresos fuera de la explotación,,,S,,Activo,,
4.02.10.02,IVA No Recuperable,,,S,,Activo,,
4.02.10.06,Multas,,,S,,Activo,,
4.02.11.00,CCMM y Depreciaciones,,,,,Activo,,
4.02.11.01,Corrección monetaria,,,S,,Activo,,
4.02.11.02,Depreciacion del ejercicio,,,S,,Activo,,
4.02.12.00,Diferencias de cambio,,,,,Activo,,
4.02.12.01,Diferencias de cambio Perdida,,,S,,Activo,,
4.03.00.00,Impuesto a La Renta e Ítemes Extraordinarios,,,,,Activo,,
4.03.01.00,Impuesto a La Renta,,,,,Activo,,
4.03.01.01,Impuesto a La Renta,,,S,,Activo,,
4.03.01.02,Impuesto Diferidos,,,S,,Activo,,
4.03.02.00,Ítemes Extraordinarios,,,,,Activo,,
4.03.03.00,Amortización mayor valor de inversiones,,,,,Activo,,
4.03.03.33,Pérdida por Revalorización,,,S,,Activo,,
